variety_id,product_url_id,scientific_name,scientific_name_variety,common_name_variety,common_name_variety_alternate,description,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
134,perejil,Petroselinum crispum,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
135,pina,Ananas comosus,,,,,2.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0
136,pitahaya,Selenicereus undatus,,,,,0.0,0.0,0.0,0.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,0.0
137,platano,Musa balbisiana,,maduro,,,1.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0
138,platano,Musa balbisiana,,verde,,,1.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0
139,puerro,Allium ampeloprasum,porrum,,,,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0
140,rabano,Raphanus sativus,,rabanito,,,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0
141,rabano,Raphanus sativus,,blanco,,,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,2.0
142,remolacha,Beta vulgari,,,,,1.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0
143,repollo,Brassica oleracea,capita f. rubra,morado,,,1.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0
144,repollo,Brassica oleracea,capita,verde,,,1.0,1.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,2.0,2.0
145,romero,Salvia rosmarinus,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
146,ruda,Ruda graveolens,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
147,sabila,Aloe vera,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
148,salvia,Salvia officinalis,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
149,sandia,Citrullus lanatus,,,,,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0
150,tacaco,Sechium tacaco,,,,,2.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0
151,tamarindo,Tamarindus indica,,,,,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0
152,tiquisque,Xanthosoma sagittifolium,Schott,,,,2.0,3.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0
153,tomate,Lycopersicon esculentum,,pera,,,1.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0
154,tomate,Physalis ixocarpa,,verde mexicano,,,1.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0
155,tomate,Solanum lycopersicum,cerasiforme,cherry,,,1.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0
156,tomate,Solanum lycopersicum,,mesa,,,1.0,2.0,3.0,3.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0
157,tomillo,Thymus vulgaris,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
158,toronja,Citrus × paradisi,,,grape fruit toronja,,1.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0
159,uchuva,Physalis peruviana,,,,,1.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0
160,uva,Vitis vinifera ,,roja,,,1.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0
161,uva,Vitis vinifera ,,verde,,,1.0,3.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0
162,vainica,Phaseolus vulgaris,in situ,tierna,,,1.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0
163,yuca,Manihot esculenta,,,,,1.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0
164,zacatelimon,Cymbopogon citratus,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
165,zanahoria,Daucus carota,,,,,2.0,3.0,2.0,2.0,3.0,2.0,1.0,1.0,2.0,3.0,3.0,3.0
166,zapallo,Cucurbita moschata,,esmeralda,,,1.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0
167,zapallo,Cucurbita moschata,,,,,1.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0
168,zucchini,Cucurbita pepo,sunburst,escalopín colores,,,,,,,,,,,,,,
169,zucchini,Cucurbita pepo,,,calabacín,,1.0,1.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,1.0
